Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        6.00 | GS    | Mulliken     | 0.004194 | 2.998562 | 1.001438
        6.00 | GS    | Lowdin       | 0.007503 | 3.001283 | 0.998717
        6.00 | GS    | Meta-Lowdin  | 0.002971 | 2.999342 | 1.000658
        6.00 | GS    | IAO          | 0.002873 | 2.999067 | 1.000446
        6.00 | GS    | PEIAO        | 0.001776 | 0.131907 | 0.019749
        6.00 | GS    | FPIAO(1.0)   | 0.003163 | 2.999373 | 1.000154
        6.00 | GS    | FPIAO(1.5)   | 0.002928 | 2.999132 | 1.000391
        6.00 | GS    | FPIAO(2.0)   | 0.002889 | 2.999090 | 1.000430
        6.20 | GS    | Mulliken     | 0.002809 | 2.999079 | 1.000921
        6.20 | GS    | Lowdin       | 0.005645 | 3.001657 | 0.998343
        6.20 | GS    | Meta-Lowdin  | 0.001930 | 2.999578 | 1.000422
        6.20 | GS    | IAO          | 0.001866 | 2.999327 | 1.000264
        6.20 | GS    | PEIAO        | 0.001507 | 0.133930 | 0.016564
        6.20 | GS    | FPIAO(1.0)   | 0.002063 | 2.999536 | 1.000067
        6.20 | GS    | FPIAO(1.5)   | 0.001902 | 2.999371 | 1.000229
        6.20 | GS    | FPIAO(2.0)   | 0.001876 | 2.999343 | 1.000255
        6.40 | GS    | Mulliken     | 0.001891 | 2.999415 | 1.000585
        6.40 | GS    | Lowdin       | 0.004365 | 3.001844 | 0.998156
        6.40 | GS    | Meta-Lowdin  | 0.001253 | 2.999728 | 1.000272
        6.40 | GS    | IAO          | 0.001212 | 2.999494 | 1.000152
        6.40 | GS    | PEIAO        | 0.001266 | 0.135396 | 0.013895
        6.40 | GS    | FPIAO(1.0)   | 0.001346 | 2.999636 | 1.000018
        6.40 | GS    | FPIAO(1.5)   | 0.001235 | 2.999523 | 1.000129
        6.40 | GS    | FPIAO(2.0)   | 0.001218 | 2.999505 | 1.000146
        6.60 | GS    | Mulliken     | 0.001283 | 2.999634 | 1.000366
        6.60 | GS    | Lowdin       | 0.003476 | 3.001909 | 0.998091
        6.60 | GS    | Meta-Lowdin  | 0.000814 | 2.999824 | 1.000176
        6.60 | GS    | IAO          | 0.000787 | 2.999602 | 1.000082
        6.60 | GS    | PEIAO        | 0.001056 | 0.136388 | 0.011677
        6.60 | GS    | FPIAO(1.0)   | 0.000878 | 2.999699 | 0.999991
        6.60 | GS    | FPIAO(1.5)   | 0.000802 | 2.999622 | 1.000067
        6.60 | GS    | FPIAO(2.0)   | 0.000791 | 2.999610 | 1.000078
        6.80 | GS    | Mulliken     | 0.000880 | 2.999778 | 1.000222
        6.80 | GS    | Lowdin       | 0.002851 | 3.001897 | 0.998103
        6.80 | GS    | Meta-Lowdin  | 0.000528 | 2.999885 | 1.000115
        6.80 | GS    | IAO          | 0.000511 | 2.999673 | 1.000038
        6.80 | GS    | PEIAO        | 0.000874 | 0.136992 | 0.009847
        6.80 | GS    | FPIAO(1.0)   | 0.000573 | 2.999739 | 0.999976
